speaker,pos,neg,neu,compound
AnoteTong,0.0611770334928229,0.0456842105263157,0.8931196172248804,0.0405913875598086
AnthonyAtala,0.0721652835820895,0.02497343283582085,0.902857552238806,0.12787413134328351
AnthonyDRomero,0.0896129032258064,0.069524193548387,0.8408387096774195,0.0447540322580645
AnthonyGoldbloom,0.0841395348837209,0.0414186046511628,0.8744418604651163,0.086713953488372
AntonioDamasio,0.0561833333333333,0.0491583333333333,0.894658333333334,0.0387874999999999
AntonioGuterres,0.0700891719745222,0.0592101910828025,0.8707006369426754,0.0209324840764331
AntonyGormley,0.0361891891891891,0.0236486486486486,0.9401418918918918,0.0209094594594594
AnupamMishra,0.0728195488721804,0.0269323308270676,0.900248120300752,0.0968308270676691
AomawaShields,0.0813181818181818,0.0202727272727272,0.8983863636363634,0.16515
AparnaRao,0.07127288961038955,0.02702110389610385,0.9017316558441557,0.10449228896103896
ApolloRobbins,0.1135757575757575,0.0190151515151515,0.8673939393939394,0.2657984848484849
AriWallach,0.0751538461538461,0.0455811965811965,0.8792564102564103,0.0532743589743589
AriannaHuffington,0.0856562499999999,0.02134375,0.89296875,0.1808125
ArielGarten,0.0991397058823529,0.0139117647058823,0.8869338235294117,0.2054198529411764
ArisVenetikidis,0.073312925170068,0.0234217687074829,0.903265306122449,0.123125850340136
ArthurBenjamin,0.08121199404440277,0.0201916417516179,0.8985571485177046,0.19003969477564442
ArthurBrooks,0.1322846153846154,0.0638076923076923,0.8039230769230771,0.1297215384615385
ArthurGanson,0.0675410958904109,0.012958904109589,0.9194931506849316,0.1201499999999999
ArthurPottsDawson,0.0803882352941176,0.0491176470588235,0.8705294117647059,0.100795294117647
ArunachalamMuruganantham,0.0614,0.0501692307692307,0.8884153846153847,0.0440292307692307
ArvindGupta,0.0844062499999999,0.0246093749999999,0.8909765625,0.1645734374999999
AshBeckham,0.08913342601954835,0.052452940680822305,0.8584322548028311,0.10657473879339391
